@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
2,112,0,1,0,0,0,0,0,0,0,0,0,0,No
2,36,1,2,0,0,0,0,0,0,0,271,271,135,No
2,86,4,2,0,4,4,2,4,4,2,432,432,216,No
2,28,0,1,0,0,0,0,0,0,0,0,0,0,No
2,29,0,1,0,0,0,0,0,0,0,0,0,0,No
2,37,8,4,0,7,5,1,7,5,1,708,271,177,No
2,577,54,7,0,15,5,2,15,5,2,951,239,135,Yes
2,68,19,3,0,3,3,1,3,3,1,560,289,186,No
2,30,1,2,0,0,0,0,0,0,0,271,271,135,No
2,73,9,3,0,8,8,2,8,8,2,560,289,186,No
2,38,3,2,0,0,0,0,0,0,0,271,271,135,No
2,52,1,2,0,0,0,0,0,0,0,143,143,71,No
2,32,0,1,0,0,0,0,0,0,0,0,0,0,No
2,79,23,4,0,10,9,2,10,9,2,738,289,184,Yes
2,171,30,5,0,17,14,3,17,14,3,838,271,167,Yes
2,84,15,4,0,11,9,2,11,9,2,738,289,184,Yes
2,38,0,1,0,0,0,0,0,0,0,0,0,0,No
2,28,0,1,0,0,0,0,0,0,0,0,0,0,No
2,49,0,1,0,0,0,0,0,0,0,0,0,0,No
2,437,134,9,0,91,53,10,90,53,10,992,171,110,Yes
2,78,0,1,0,0,0,0,0,0,0,0,0,0,Yes
2,64,0,1,0,0,0,0,0,0,0,0,0,0,No
2,77,2,2,0,0,0,0,0,0,0,271,271,135,No
2,203,14,3,0,12,11,4,12,11,4,224,143,74,Yes
2,161,6,4,0,2,1,0,2,1,0,660,271,165,No
2,907,369,6,3,182,143,30,180,141,30,781,271,130,Yes
2,75,2,2,0,0,0,0,0,0,0,271,271,135,No
2,95,4,3,0,1,1,0,1,1,0,421,271,140,No
2,23,0,1,0,0,0,0,0,0,0,0,0,0,No
2,482,77,5,0,57,44,11,55,42,11,804,271,160,No
2,63,0,1,0,0,0,0,0,0,0,0,0,0,No
2,95,8,3,0,3,3,1,3,3,1,538,271,179,No
2,28,1,2,0,0,0,0,0,0,0,271,271,135,No
2,59,1,2,0,0,0,0,0,0,0,271,271,135,No
2,78,2,2,0,0,0,0,0,0,0,271,271,135,No
2,747,85,7,1,43,28,6,43,28,6,910,271,130,Yes
2,65,0,1,0,0,0,0,0,0,0,0,0,0,No
2,46,0,1,0,0,0,0,0,0,0,0,0,0,No
2,64,4,2,0,0,0,0,0,0,0,271,271,135,No
2,38,0,1,0,0,0,0,0,0,0,0,0,0,No
2,65,1,2,0,0,0,0,0,0,0,271,271,135,No
2,125,3,2,0,0,0,0,0,0,0,271,271,135,No
2,173,34,6,0,18,10,3,14,10,2,790,271,131,No
2,37,7,3,0,0,0,0,0,0,0,588,317,196,No
2,59,3,2,0,1,1,0,1,1,0,316,316,158,No
2,63,0,1,0,0,0,0,0,0,0,0,0,0,No
2,133,19,5,0,5,4,1,3,2,0,688,271,137,No
2,75,4,3,0,1,1,0,1,1,0,569,316,189,No
2,84,4,3,0,1,1,0,1,1,0,421,271,140,No
2,75,0,1,0,0,0,0,0,0,0,0,0,0,No
2,49,2,2,0,0,0,0,0,0,0,320,320,160,No
2,61,1,2,0,0,0,0,0,0,0,271,271,135,No
2,87,24,4,0,16,16,4,16,16,4,624,271,156,No
2,356,343,7,0,243,235,34,241,233,34,844,271,120,No
2,54,0,1,0,0,0,0,0,0,0,0,0,0,No
2,613,216,8,0,171,97,21,171,97,21,928,196,116,Yes
2,40,0,1,0,0,0,0,0,0,0,0,0,0,No
2,79,4,2,0,0,0,0,0,0,0,271,271,135,No
2,86,26,3,0,22,22,7,22,22,7,493,271,164,Yes
2,32,1,2,0,0,0,0,0,0,0,271,271,135,No
2,58,4,2,0,0,0,0,0,0,0,271,271,135,No
2,109,11,3,0,4,4,1,4,4,1,493,271,164,No
2,33,1,2,0,0,0,0,0,0,0,432,432,216,No
2,228,65,3,0,13,12,4,13,12,4,421,271,140,No
2,202,25,5,0,14,9,2,14,9,2,599,271,119,No
2,81,11,3,0,5,5,1,5,5,1,493,271,164,No
2,29,0,1,0,0,0,0,0,0,0,0,0,0,No
2,58,7,3,0,5,5,1,5,5,1,493,271,164,No
2,447,127,5,0,49,31,9,49,31,9,783,271,156,No
2,105,30,2,0,0,0,0,0,0,0,271,271,135,No
2,36,1,2,0,0,0,0,0,0,0,432,432,216,No
2,99,1,2,0,0,0,0,0,0,0,271,271,135,No
2,80,16,3,0,1,1,0,1,1,0,421,271,140,No
3,216,50,3,0,38,32,12,38,32,12,170,110,56,No
3,273,25,3,0,12,11,4,12,11,4,631,485,210,Yes
3,460,165,7,0,75,52,10,50,35,7,967,397,138,Yes
3,138,166,4,0,68,67,17,36,36,9,485,211,121,No
3,358,582,8,0,279,260,34,196,190,24,1088,302,136,No
3,1244,2806,58,3,1530,207,26,1041,205,17,2400,196,41,Yes
3,52,2,2,0,0,0,0,-1,0,0,148,148,74,No
3,155,108,6,0,73,53,12,73,53,12,983,297,163,No
