Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,NOSELECTION,NOSENSITIVE,38.0,20.0,229.0,28.0,0.6551724137931034,0.5757575757575758,0.8160520871364245,0.5185326709973251,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,NOSELECTION,THRESHOLD,77.0,44.0,454.0,55.0,0.6363636363636364,0.5833333333333334,0.7652808202506998,0.5106162610046608,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,NOSELECTION,LEARNING,116.0,68.0,679.0,82.0,0.6304347826086957,0.5858585858585859,0.7803503576595946,0.5080277378646844,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,NAIVEBAYES,OVERSAMPLING,NOSELECTION,NOSENSITIVE,40.0,27.0,222.0,26.0,0.5970149253731343,0.6060606060606061,0.8222587318972862,0.49487156213125183,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,NAIVEBAYES,OVERSAMPLING,NOSELECTION,THRESHOLD,80.0,54.0,444.0,52.0,0.5970149253731343,0.6060606060606061,0.7684602044541804,0.49487156213125183,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,NAIVEBAYES,OVERSAMPLING,NOSELECTION,LEARNING,120.0,81.0,666.0,78.0,0.5970149253731343,0.6060606060606061,0.7844137492731871,0.49487156213125183,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,40.0,27.0,222.0,26.0,0.5970149253731343,0.6060606060606061,0.8231714737738834,0.49487156213125183,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,THRESHOLD,80.0,55.0,443.0,52.0,0.5925925925925926,0.6060606060606061,0.7679962273335768,0.49151391717583176,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,LEARNING,120.0,83.0,664.0,78.0,0.5911330049261084,0.6060606060606061,0.7833015563939258,0.4903988183161003,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,NAIVEBAYES,SMOTE,NOSELECTION,NOSENSITIVE,41.0,24.0,225.0,25.0,0.6307692307692307,0.6212121212121212,0.8129791894852135,0.5277650298301972,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,NAIVEBAYES,SMOTE,NOSELECTION,THRESHOLD,82.0,48.0,450.0,50.0,0.6307692307692307,0.6212121212121212,0.7765075453328465,0.5277650298301972,
BOOKKEEPER,2,38.74538745387454,50.0,20.952380952380953,NAIVEBAYES,SMOTE,NOSELECTION,LEARNING,123.0,72.0,675.0,75.0,0.6307692307692307,0.6212121212121212,0.7875305937554934,0.5277650298301972,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,BESTFIRST,NOSENSITIVE,39.0,23.0,226.0,27.0,0.6290322580645161,0.5909090909090909,0.79393330899355,0.5098954443614638,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,BESTFIRST,THRESHOLD,81.0,47.0,451.0,51.0,0.6328125,0.6136363636363636,0.7770704028234149,0.5251061473140115,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,NAIVEBAYES,NOBALANCING,BESTFIRST,LEARNING,123.0,71.0,676.0,75.0,0.634020618556701,0.6212121212121212,0.7776087515043338,0.5301005394801374,
